RouteId,RouteVarId,RouteVarName,RouteVarShortName,RouteNo,StartStop,EndStop,Distance,Outbound,RunningTime
109,2,Lượt về: Bến xe Mộc Bài - Bến xe buýt Sài Gòn,Bến Xe Buýt Sài Gòn,70-3,Bến xe Mộc Bài,Bến xe buýt Sài Gòn,76109.99999999997,False,150
110,1,Lượt đi: Bố Heo - Bến xe Lộc Hưng,Lộc Hưng,70-5,Bố Heo,Bến xe Lộc Hưng,7517.0,True,15
110,2,Lượt về: Bến xe Lộc Hưng - Bố Heo,Bố Heo,70-5,Bến xe Lộc Hưng,Bố Heo,7517.0,False,15
111,221,Lượt đi: Bến xe An Sương - Phật Cô Đơn,Phật Cô Đơn,71,Bến xe An Sương,Phật Cô Đơn,24048.000000000015,True,65
111,222,Lượt về: Phật Cô Đơn - Bến xe An Sương,Bến xe An Sương,71,Phật Cô Đơn,Bến xe An Sương,23528.999999999985,False,65
112,223,Lượt đi: Bến xe buýt Sài Gòn - Hiệp Phước,Hiệp Phước,72,Bến xe buýt Sài Gòn,Hiệp Phước,21710.0,True,55
112,224,Lượt về: Hiệp Phước - Bến xe buýt Sài Gòn,Bến xe buýt Sài Gòn,72,Hiệp Phước,Bến xe buýt Sài Gòn,21566.000000000004,False,55
335,3,Lượt đi: Sân bay Tân Sơn Nhất - BẾN XE VŨNG TÀU,Lượt đi: Sân bay Tân Sơn Nhất - BẾN XE VŨNG TÀU,72-1,Sân bay Tân Sơn Nhất,BẾN XE VŨNG TÀU,103189.0,True,165
335,4,Lượt về: BẾN XE VŨNG TÀU - Sân bay Tân Sơn Nhất,Lượt về: BẾN XE VŨNG TÀU - Sân bay Tân Sơn Nhất,72-1,BẾN XE VŨNG TÀU,Sân bay Tân Sơn Nhất,103438.0,False,165
113,225,Lượt đi: Chợ Bình Chánh - KCN LÊ MINH XUÂN,Khu công nghiệp Lê Minh Xuân,73,Chợ Bình Chánh,KCN LÊ MINH XUÂN,23378.000000000007,True,60
113,226,Lượt về: KCN LÊ MINH XUÂN - Chợ Bình Chánh,Chợ Bình Chánh,73,KCN LÊ MINH XUÂN,Chợ Bình Chánh,22634.999999999996,False,60
114,227,Lượt đi: Bến xe An Sương - Bến xe Củ Chi,Bến xe Củ Chi,74,Bến xe An Sương,Bến xe Củ Chi,22529.000000000007,True,45
114,228,Lượt về: Bến xe Củ Chi - Bến xe An Sương,Bến xe An Sương,74,Bến xe Củ Chi,Bến xe An Sương,22439.999999999996,False,45
115,231,Lượt đi: Bến xe buýt Sài Gòn - Bến xe buýt Cần Giờ,Cần Giờ,75,Bến xe buýt Sài Gòn,Bến xe buýt Cần Giờ,63314.0,True,140
115,232,Lượt về: Bến xe buýt Cần Giờ - Bến xe buýt Sài Gòn,Bến Xe Buýt Sài Gòn,75,Bến xe buýt Cần Giờ,Bến xe buýt Sài Gòn,67729.99999999999,False,140
116,1,Lượt đi: Long Phước - Bến xe Miền Đông mới,Bến xe Miền Đông mới,76,Long Phước,Bến xe Miền Đông mới,23669.000000000004,True,58
116,2,Lượt về: Bến xe Miền Đông mới - Long Phước,Long Phước,76,Bến xe Miền Đông mới,Long Phước,24511.999999999996,False,58
