RouteId,RouteVarId,StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lng,Lat,Search,Routes
4,8,168,Q12 137,Chùa Vĩnh Phước,Nhà chờ,Quận 12,None,Chùa Vĩnh Phước,Trường Chinh,,Đang khai thác,106.621794,10.83202,CVP CVP TC,"04, 104, 145, 27, 41, 65"
4,8,169,Q12 139,Cầu Tham Lương - Siêu thị Thiên Hòa,Nhà chờ,Quận 12,None,21 (Kế 2/6B),Trường Chinh,,Đang khai thác,106.62586,10.82624,CTL-StTH 21(2/6B) TC,"04, 104, 13, 145, 23, 27, 41, 61-8, 62, 65, 70-3, 94"
4,8,174,QTP 010,Trạm Dệt Thành Công,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,8,Trường Chinh,Có,Đang khai thác,106.629825,10.822315,TDTC 8 TC,"04, 104, 13, 145, 23, 27, 32, 41, 61-8, 62, 65, 70-3, 94"
4,8,173,QTP 011,Trạm KCN Tân Bình,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,881,Trường Chinh,Có,Đang khai thác,106.630615,10.819386,TKTB 881 TC,"04, 104, 145, 23, 27, 28, 62, 65, 70-3"
4,8,176,QTP 012,Ngã 3 Chế Lan Viên,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,831 (trước showroom o tô),Trường Chinh,Có,Đang khai thác,106.631472,10.817114,N3CLV 831(sot TC,"04, 104, 145, 23, 27, 28, 62, 65, 70-3"
4,8,175,QTP 013,Chế Lan Viên,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,28/7B,Trường Chinh,,Đã hủy,106.632748,10.812878,CLV 28/7B TC,"04, 104, 145, 16, 23, 27, 28, 62, 65, 70-3"
4,8,177,QTP 014,Trạm Đài Liệt Sỹ,Nhà chờ,Quận Tân Phú,Phường Tây Thạnh,1/3,Trường Chinh,,Đang khai thác,106.634262,10.808209,TDLS 1/3 TC,"04, 104, 145, 16, 23, 27, 28, 48, 62, 65"
4,8,178,QTB 118,Thượng Uyển,Nhà chờ,Quận Tân Bình,None,680 (Thượng Uyển),Cộng Hòa,,Đang khai thác,106.636055,10.806144,TU 680(U CH,"04, 104, 145, 28, 70-3"
4,8,180,QTB 119,Ngã tư Tân Kỳ Tân Quý,Trụ dừng,Quận Tân Bình,None,401,Cộng Hòa,,Đang khai thác,106.637887,10.803541,NtTKTQ 401 CH,"04, 104, 145, 28"
4,8,181,QTB 120,ETown,Nhà chờ,Quận Tân Bình,None,ETown,Cộng Hòa,,Đang khai thác,106.640253,10.802371,E E CH,"04, 104, 145, 28, 70-3"
4,8,179,QTB 121,Ngã ba Bình Giã,Trụ dừng,Quận Tân Bình,None,303,Cộng Hòa,,Đang khai thác,106.644292,10.802055,NbBG 303 CH,"04, 104, 145, 28, 70-3"
4,8,183,QTB 122,Công ty Lô Hội,Nhà chờ,Quận Tân Bình,None,19A (Công ty Lô Hội),Cộng Hòa,,Đang khai thác,106.650413,10.801544,CtLH 19A(tLH CH,"04, 104, 145, 28, 70-3"
4,8,182,QTB 123,Pico Plaza,Nhà chờ,Quận Tân Bình,None,20Bis,Cộng Hòa,,Đang khai thác,106.653637,10.801254,PP 20Bis CH,"04, 104, 145, 28, 70-3"
4,8,185,QTB 124,Ngã ba Út tịch,Trụ dừng,Quận Tân Bình,None,35-37,Cộng Hòa,,Đang khai thác,106.656679,10.800985,NbÚt 35-37 CH,"04, 104, 145, 28"
4,8,184,QTB 125,Siêu thị Maximart Cộng Hòa,Nhà chờ,Quận Tân Bình,None,Đối diện 58 (Siêu thị Maximart),Cộng Hòa,,Đang khai thác,106.658819,10.800833,StMCH Dd58(tM CH,"04, 104, 145, 28, 70-3"
4,8,187,QTB 036,Công viên Hoàng Văn Thụ,Nhà chờ,Quận Tân Bình,None,259,Hoàng Văn Thụ,,Đang khai thác,106.663578,10.800469,CvHVT 259 HVT,"04, 08, 103, 104, 148, 50, 59, 64"
4,8,186,QTB 037,Bảo Tàng Miền Đông,Nhà chờ,Quận Tân Bình,None,247,Hoàng Văn Thụ,,Đang khai thác,106.666372,10.800237,BTMD 247 HVT,"04, 08, 104, 109, 152, 64"
4,8,188,QPN 043,Cây xăng Quân khu 7,Trụ dừng,Quận Phú Nhuận,None,307,Nguyễn Văn Trỗi,,Đang khai thác,106.66847,10.799589,CxQk7 307 NVT,"04, 109, 152"
4,8,190,QPN 044,Bệnh viện Quận Phú Nhuận,Trụ dừng,Quận Phú Nhuận,None,279,Nguyễn Văn Trỗi,,Đang khai thác,106.670744,10.798282,BvQPN 279 NVT,"04, 109, 152"
4,8,191,QPN 045,Cổng Xe lửa,Trụ dừng,Quận Phú Nhuận,None,253,Nguyễn Văn Trỗi,,Đang khai thác,106.673609,10.796596,CXl 253 NVT,"04, 109, 152"
4,8,189,QPN 046,Trung tâm Văn hóa Quận Phú Nhuận,Trụ dừng,Quận Phú Nhuận,None,157,Nguyễn Văn Trỗi,,Đang khai thác,106.675894,10.795236,TtVhQPN 157 NVT,"04, 109, 152"
4,8,193,QPN 047,Ngã tư Trần Huy Liệu,Trụ dừng,Quận Phú Nhuận,None,101,Nguyễn Văn Trỗi,,Đang khai thác,106.679167,10.793276,NtTHL 101 NVT,"04, 109, 152"
4,8,192,Q3 052,Chùa Vĩnh Nghiêm,Trụ dừng,Quận 3,Phường 07,321-323,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.683022,10.790381,CVN 321-323 NKKN,"04, 109, 152, 72-1"
4,8,196,Q3 053,Trần Quốc Toản,Trụ dừng,Quận 3,Phường 07,201 F-E,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.686897,10.786831,TQT 201F NKKN,"04, 109, 152"
4,8,194,Q3 054,Viện Pasteur,Nhà chờ,Quận 3,Phường 07,179,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.688474,10.785351,VP 179 NKKN,"04, 109, 152"
4,8,198,Q3 055,Điện Biên Phủ,Nhà chờ,Quận 3,None,159,Nam Kỳ Khởi Nghĩa,Có,Đang khai thác,106.69099,10.783116,DBP 159 NKKN,"04, 109, 152"
4,8,195,Q3 056,Coop Mart Nguyễn Đình Chiểu,Nhà chờ,Quận 3,None,143,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.693152,10.78113,CMNDC 143 NKKN,"04, 109, 152, 31, 93"
4,8,197,Q3 057,Trường THPT Lê Quý Đôn,Nhà chờ,Quận 3,None,Đối diện 166 - 168,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.69452,10.779844,TTLQD Dd166-168 NKKN,"04, 109, 152, 31, 93"
4,8,200,Q1 075,Tòa án Nhân dân Thành Phố,Nhà chờ,Quận 1,None,131,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.698647,10.776052,TaNdTP 131 NKKN,"04, 109, 152, 18, 31, 36, 52, 93"
4,8,199,Q1 076,Chùa Ông,Trụ dừng,Quận 1,None,Đối diện 96A,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.699722,10.773957,CO Dd96A NKKN,"04, 109, 152, 18, 31, 36, 44, 52, 93"
4,8,201,Q1 077,Trường CĐKT Cao Thắng,Trụ dừng,Quận 1,None,Đối diện 86,Nam Kỳ Khởi Nghĩa,,Đang khai thác,106.700851,10.771416,TCCT Dd86 NKKN,"04, 109, 152, 18, 31, 36, 52, 93"
4,8,82,Q1 023,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Bến Thành,Hàm Nghi 16 (140),Hàm Nghi,,Đang khai thác,106.699326,10.771243,TTctdHN HN16( HN,"04, 18, 20"
4,8,7273,Q1 187,Khách sạn New World,Ô sơn,Quận 1,Phường Bến Thành,Đối diện cây xanh số 105,Lê Lai,Có,Đang khai thác,106.695946,10.770964,KsNW Ddcxs105 LL,"03, 04, 102, 109, 18, 19, 20, 34, 36, 39, 52, 75, 86, 88, 93"
4,8,7274,Q1 188,Nguyễn Thị Nghĩa,Trụ dừng,Quận 1,Phường Bến Thành,94-96,Lê Lai,Có,Đang khai thác,106.693495,10.769952,NTN 94-96 LL,"03, 04, 102, 109, 140, 18, 19, 20, 34, 36, 39, 52, 53, 69, 72, 75, 86, 88, 93"
4,8,7275,Q1 189,Tôn Thất Tùng,Trụ dừng,Quận 1,Phường Bến Thành,202-204,Lê Lai,Có,Đang khai thác,106.690469,10.768761,TTT 202-204 LL,"03, 04, 102, 109, 140, 18, 19, 20, 34, 36, 39, 52, 53, 69, 72, 75, 86, 88, 93"
4,8,35,BX 01,Bến xe buýt Sài Gòn,Bến xe,Quận 1,Phường Phạm Ngũ Lão,BẾN XE BUÝT SÀI GÒN,Lê Lai,Có,Đang khai thác,106.689362,10.767676,BxbSG BXBSG LL,"03, 04, 102, 109, 120, 13, 140, 18, 19, 20, 27, 28, 34, 36, 39, 52, 61-6, 65, 69, 70-3, 72, 75, 86, 88, 93, D1"
13,25,35,BX 01,Bến xe buýt Sài Gòn,Bến xe,Quận 1,Phường Phạm Ngũ Lão,BẾN XE BUÝT SÀI GÒN,Lê Lai,Có,Đang khai thác,106.689362,10.767676,BxbSG BXBSG LL,"03, 04, 102, 109, 120, 13, 140, 18, 19, 20, 27, 28, 34, 36, 39, 52, 61-6, 65, 69, 70-3, 72, 75, 86, 88, 93, D1"
13,25,7276,Q1 190,Tôn Thất Tùng,Trụ dừng,Quận 1,Phường Phạm Ngũ Lão,277-279-275Y,Phạm Ngũ Lão,Có,Đang khai thác,106.690941,10.76767,TTT 277-279-275Y PNL,"03, 04, 102, 109, 140, 18, 19, 20, 28, 34, 36, 39, 46, 52, 65, 69, 72, 75, 86, 88, 93"
13,25,7277,Q1 191,Nguyễn Thị Nghĩa,Trụ dừng,Quận 1,Phường Phạm Ngũ Lão,187,Phạm Ngũ Lão,Có,Đang khai thác,106.693699,10.768788,NTN 187 PNL,"03, 04, 102, 109, 140, 18, 19, 20, 28, 34, 36, 39, 46, 52, 65, 69, 72, 93, DL01"
13,25,7278,Q1 192,Trường Emst Thalmann,Nhà chờ,Quận 1,Phường Phạm Ngũ Lão,Trường Emst Thalmann,Phạm Ngũ Lão,Có,Đang khai thác,106.695587,10.769504,TET TET PNL,"03, 04, 102, 109, 18, 19, 20, 34, 36, 39, 52, 65, 69, 93"
13,25,4275,Q1 161,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Nguyễn Thái Bình,Hàm Nghi 15 (99),Hàm Nghi,,Đang khai thác,106.70101,10.77079,TTctdHN HN15( HN,"102, 20, 86"
13,25,7564,Q1 196,Bảo tàng Mỹ Thuật,Trụ dừng,Quận 1,Phường Bến Nghé,56,Nguyễn Thái Bình,Có,Đang khai thác,106.699669,10.769251,BtMT 56 NTB,"01, 102, 34, 38, 39, 44, 86"
13,25,853,Q1 001,Calmette,Trụ dừng,Quận 1,None,97,Calmette,,Đang khai thác,106.699219,10.767768,C 97 C,"102, 123, 124, 34, 38, 44, 86"
13,25,856,Q4 014,Chợ Xóm Chiếu,Trụ dừng,Quận 4,None,51-53,Hoàng Diệu,,Đang khai thác,106.706504,10.764703,CXC 51-53 HD,"102, 31, 34"
13,25,855,Q4 027,Bưu Điện Quận 4,Trụ dừng,Quận 4,None,136-138,Nguyễn Tất Thành,,Đang khai thác,106.70763,10.76385,BDQ4 136-138 NTT,"102, 20, 31, 34, 75"
13,25,857,Q4 028,Đại học Nguyễn Tất Thành,Nhà chờ,Quận 4,None,276,Nguyễn Tất Thành,,Đang khai thác,106.70932,10.7618,DhNTT 276 NTT,"102, 20, 31, 34, 75"
13,25,858,Q4 029,Trường Nguyễn Trãi,Trụ dừng,Quận 4,None,428,Nguyễn Tất Thành,,Đang khai thác,106.713359,10.759423,TNT 428 NTT,"102, 20, 31, 34, 75"
13,25,860,Q4 030,Cảng Sài Gòn,Trụ dừng,Quận 4,None,456,Nguyễn Tất Thành,,Đang khai thác,106.715977,10.7579,CSG 456 NTT,"102, 20, 31, 34, 75"
13,25,859,Q7 080,Cầu Tân Thuận 2,Trụ dừng,Quận 7,None,46/14 (chân cầu Tân Thuận 2),Nguyễn Văn Linh,,Đang khai thác,106.723927,10.752424,CTT2 46/14(cTT2) NVL,"102, 20, 31, 34, 68, 75"
13,25,862,Q7 082,Cầu Tân Thuận 2,Trụ dừng,Quận 7,None,144-146,Nguyễn Văn Linh,,Đang khai thác,106.724088,10.751697,CTT2 144-146 NVL,"102, 31"
13,25,4125,Q7 081,Ủy ban Phường Tân Thuận Tây,Trụ dừng,Quận 7,Phường Tân Thuận Tây,Ủy ban Phường Tân Thuận Tây,Nguyễn Văn Linh,,Đang khai thác,106.721728,10.747807,?bPTTT ?bPTTT NVL,"102, 31"
13,25,866,Q7 084,Cầu Lý Phục Man,Trụ dừng,Quận 7,None,636,Nguyễn Văn Linh,,Đang khai thác,106.721508,10.742521,CLPM 636 NVL,"102, 31"
13,25,863,Q7 085,Nguyễn Thị Thập,Trụ dừng,Quận 7,None,340A,Nguyễn Văn Linh,,Đang khai thác,106.721444,10.739585,NTT 340A NVL,"102, 31"
13,25,869,Q7 088,Bệnh viện Việt Pháp,Trụ dừng,Quận 7,None,Bệnh viện Việt Pháp,Nguyễn Văn Linh,,Đang khai thác,106.718912,10.731063,BvVP BvVP NVL,"102, 34"
13,25,864,Q7 087,Nguyễn Lương Bằng,Trụ dừng,Quận 7,Phường Tân Phong,838-840 (388),Nguyễn Văn Linh,,Đang khai thác,106.712801,10.729419,NLB 838-840( NVL,"102, 34"
13,25,865,Q7 089,Hưng Vượng,Trụ dừng,Quận 7,None,Kế A001,Nguyễn Văn Linh,,Đang khai thác,106.709567,10.72934,HV KA NVL,"102, 34"
13,25,872,Q7 090,Sky Garden,Trụ dừng,Quận 7,None,1048 (Kế siêu thị Fivimart),Nguyễn Văn Linh,,Đang khai thác,106.7049,10.729234,SG 1048(stF NVL,"102, 123, 124, 34, 68"
13,25,2689,Q7 139,Lê Văn Lương,Trụ dừng,Quận 7,Phường Tân Phong,Ngã 3 Lê Văn Lương,Nguyễn Văn Linh,,Đang khai thác,106.699315,10.72905,LVL N3LVL NVL,"102, 34"
13,25,868,Q7 092,Đại học RMIT,Trụ dừng,Quận 7,None,Trường đại học RMIT,Nguyễn Văn Linh,,Đang khai thác,106.695061,10.728839,DhR TdhR NVL,"102, 34"
13,25,873,HBC 001,Trung Sơn,Trụ dừng,Huyện Bình Chánh,None,12-14,Nguyễn Văn Linh,,Đang khai thác,106.687117,10.728639,TS 12-14 NVL,"102, 34"
13,25,870,HBC 002,Cầu Ông Bé,Trụ dừng,Huyện Bình Chánh,None,Trụ điện  T NVL 14,Nguyễn Văn Linh,,Đang khai thác,106.683946,10.728575,COB TdTN14 NVL,"102, 34"
13,25,875,HBC 003,Phúc Minh,Trụ dừng,Huyện Bình Chánh,None,C10/5A (C10/56),Nguyễn Văn Linh,,Đang khai thác,106.679472,10.728486,PM C( NVL,"102, 34"
13,25,871,HBC 004,Phạm Hùng,Trụ dừng,Huyện Bình Chánh,None,Cột đèn A85,Nguyễn Văn Linh,,Đang khai thác,106.676537,10.7284,PH CdA NVL,"102"
13,25,877,HBC 005,Cầu Xóm Củi,Trụ dừng,Huyện Bình Chánh,None,Cột điện  T NVL 13T,Nguyễn Văn Linh,,Đang khai thác,106.667193,10.726741,CXC CdTN13T NVL,"102"
13,25,874,HBC 006,Chùa Viên Minh,Trụ dừng,Huyện Bình Chánh,None,Trụ điện 14T3 (Cột đèn A124 - Chùa Viên Minh),Nguyễn Văn Linh,,Đang khai thác,106.660316,10.723442,CVM Td14T3(dA-CVM NVL,"102"
13,25,876,HBC 007,Quốc lộ 50,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 138,Nguyễn Văn Linh,,Đang khai thác,106.656861,10.720896,Ql50 Cd138 NVL,"102"
13,25,879,HBC 008,Sau Quốc lộ 50,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 144,Nguyễn Văn Linh,,Đang khai thác,106.654415,10.718972,SQl50 Cd144 NVL,"102, 22, 45"
13,25,881,HBC 009,Khu đô thị Hạnh Phúc,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 156,Nguyễn Văn Linh,,Đang khai thác,106.649158,10.714903,KdtHP Cd156 NVL,"102, 22, 45"
13,25,884,HBC 010,Cầu Bà Lớn,Trụ dừng,Huyện Bình Chánh,None,Cột đèn 174,Nguyễn Văn Linh,,Đang khai thác,106.645103,10.71174,CBL Cd174 NVL,"102, 22, 45"
